datetime,ShortDate,Hour,DateConvert,Chicago,Temp_Farenheit
1/1/2016 0:00,1/1/2016,0,423700,269.4705227,25.37694085
1/1/2016 1:00,1/1/2016,1,423701,269.01,24.548
1/1/2016 2:00,1/1/2016,2,423702,268.8315,24.2267
1/1/2016 3:00,1/1/2016,3,423703,268.31,23.288
1/1/2016 4:00,1/1/2016,4,423704,268.59,23.792
1/1/2016 5:00,1/1/2016,5,423705,268.5874748,23.78745461
1/1/2016 6:00,1/1/2016,6,423706,268.32,23.306
1/1/2016 7:00,1/1/2016,7,423707,267.47,21.776
1/1/2016 8:00,1/1/2016,8,423708,267.4050483,21.65908694
1/1/2016 9:00,1/1/2016,9,423709,267.03,20.984
1/1/2016 10:00,1/1/2016,10,4237010,266.37,19.796
1/1/2016 11:00,1/1/2016,11,4237011,266.79,20.552
1/1/2016 12:00,1/1/2016,12,4237012,267.15,21.2
1/1/2016 13:00,1/1/2016,13,4237013,267.82,22.406
1/1/2016 14:00,1/1/2016,14,4237014,268.59,23.792
1/1/2016 15:00,1/1/2016,15,4237015,268.86,24.278
1/1/2016 16:00,1/1/2016,16,4237016,269.45,25.34
1/1/2016 17:00,1/1/2016,17,4237017,269.79,25.952
1/1/2016 18:00,1/1/2016,18,4237018,269.7917971,25.95523484
1/1/2016 19:00,1/1/2016,19,4237019,270.48,27.194
1/1/2016 20:00,1/1/2016,20,4237020,270.64,27.482
1/1/2016 21:00,1/1/2016,21,4237021,271.04,28.202
1/1/2016 22:00,1/1/2016,22,4237022,271.0379584,28.19832513
1/1/2016 23:00,1/1/2016,23,4237023,270.4254792,27.09586256
1/2/2016 0:00,1/2/2016,0,423710,271.24,28.562
1/2/2016 1:00,1/2/2016,1,423711,271.472791,28.98102378
1/2/2016 2:00,1/2/2016,2,423712,271.71,29.408
1/2/2016 3:00,1/2/2016,3,423713,271.38,28.814
1/2/2016 4:00,1/2/2016,4,423714,271.3711113,28.79800028
1/2/2016 5:00,1/2/2016,5,423715,270.47,27.176
1/2/2016 6:00,1/2/2016,6,423716,269.95,26.24
1/2/2016 7:00,1/2/2016,7,423717,269.950017,26.24003052
1/2/2016 8:00,1/2/2016,8,423718,269.99,26.312
1/2/2016 9:00,1/2/2016,9,423719,269.32,25.106
1/2/2016 10:00,1/2/2016,10,4237110,268.6,23.81
1/2/2016 11:00,1/2/2016,11,4237111,267.99,22.712
1/2/2016 12:00,1/2/2016,12,4237112,267.43,21.704
1/2/2016 13:00,1/2/2016,13,4237113,266.81,20.588
1/2/2016 14:00,1/2/2016,14,4237114,267.59,21.992
1/2/2016 15:00,1/2/2016,15,4237115,268.73,24.044
1/2/2016 16:00,1/2/2016,16,4237116,270.9,27.95
1/2/2016 17:00,1/2/2016,17,4237117,270.8707664,27.89737949
1/2/2016 18:00,1/2/2016,18,4237118,271.89,29.732
1/2/2016 19:00,1/2/2016,19,4237119,273.02,31.766
1/2/2016 20:00,1/2/2016,20,4237120,272.8920615,31.53571066
1/2/2016 21:00,1/2/2016,21,4237121,273.59,32.792
1/2/2016 22:00,1/2/2016,22,4237122,272.84,31.442
1/2/2016 23:00,1/2/2016,23,4237123,272.8325661,31.42861904
1/3/2016 0:00,1/3/2016,0,423720,272.4644284,30.76597118
1/3/2016 1:00,1/3/2016,1,423721,272.09,30.092
1/3/2016 2:00,1/3/2016,2,423722,271.7056603,29.4001885
1/3/2016 3:00,1/3/2016,3,423723,271.79,29.552
1/3/2016 4:00,1/3/2016,4,423724,270.82,27.806
1/3/2016 5:00,1/3/2016,5,423725,270.56,27.338
1/3/2016 6:00,1/3/2016,6,423726,269.69,25.772
1/3/2016 7:00,1/3/2016,7,423727,269.13,24.764
1/3/2016 8:00,1/3/2016,8,423728,268.72,24.026
1/3/2016 9:00,1/3/2016,9,423729,268.7188573,24.02394321
1/3/2016 10:00,1/3/2016,10,4237210,268.9490403,24.43827245
